Round,Pick Number,Overall Pick,Player,Player ID,Team,Position,NFL Team,Position Rank,Eligible Slots,Acquisition Type,Season
1,1,1,Bijan Robinson,4430807,ED,RB,ATL,5.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
1,2,2,Ja'Marr Chase,4362628,SELL,WR,CIN,5.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
1,3,3,Saquon Barkley,3929630,PUG,RB,PHI,12.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2025
1,4,4,Jahmyr Gibbs,4429795,WALL,RB,DET,3.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
1,5,5,CeeDee Lamb,4241389,DAVE,WR,DAL,22.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
1,6,6,Justin Jefferson,4262921,CRAIG,WR,MIN,25.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2025
1,7,7,Amon-Ra St. Brown,4374302,JAY,WR,DET,4.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
1,8,8,Christian McCaffrey,3117251,WAKA,RB,SF,1.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
1,9,9,Derrick Henry,3043078,HOUSE,RB,BAL,11.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2025
1,10,10,Ashton Jeanty,4890973,FEDS,RB,LV,14.0,"['Rookie', 'RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
1,11,11,Malik Nabers,4595348,BIV,WR,NYG,86.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
1,12,12,Nico Collins,4258173,HARN,WR,HOU,8.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2025
2,1,13,Chase Brown,4362238,HARN,RB,CIN,13.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2025
2,2,14,A.J. Brown,4047646,BIV,WR,PHI,10.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
2,3,15,Josh Jacobs,4047365,FEDS,RB,GB,8.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
2,4,16,Bucky Irving,4596448,HOUSE,RB,TB,37.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2025
2,5,17,Puka Nacua,4426515,WAKA,WR,LAR,2.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
2,6,18,Jonathan Taylor,4242335,JAY,RB,IND,2.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
2,7,19,James Cook III,4379399,CRAIG,RB,BUF,6.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
2,8,20,Kyren Williams,4430737,DAVE,RB,LAR,9.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
2,9,21,Brock Bowers,4432665,WALL,TE,LV,5.0,"['WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
2,10,22,Tyreek Hill,3116406,PUG,WR,MIA,91.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],2025
2,11,23,De'Von Achane,4429160,SELL,RB,MIA,4.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
2,12,24,Josh Allen,3918298,ED,QB,BUF,1.0,"['QB', 'OP', 'BE', 'IR']",DRAFT,2025
3,1,25,Trey McBride,4361307,ED,TE,ARI,1.0,"['WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
3,2,26,Lamar Jackson,3916387,SELL,QB,BAL,16.0,"['QB', 'OP', 'BE', 'IR']",DRAFT,2025
3,3,27,Jayden Daniels,4426348,PUG,QB,WSH,29.0,"['QB', 'OP', 'BE', 'IR']",DRAFT,2025
3,4,28,Brian Thomas Jr.,4432773,WALL,WR,JAX,46.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2025
3,5,29,Ladd McConkey,4612826,DAVE,WR,LAC,24.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
3,6,30,Tee Higgins,4239993,CRAIG,WR,CIN,16.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2025
3,7,31,George Kittle,3040151,JAY,TE,SF,19.0,"['WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
3,8,32,Drake London,4426502,WAKA,WR,ATL,11.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
3,9,33,Jalen Hurts,4040715,HOUSE,QB,PHI,6.0,"['QB', 'OP', 'BE', 'IR']",DRAFT,2025
3,10,34,Garrett Wilson,4569618,FEDS,WR,NYJ,48.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
3,11,35,Omarion Hampton,4685382,BIV,RB,LAC,41.0,"['Rookie', 'RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
3,12,36,Alvin Kamara,3054850,HARN,RB,NO,38.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2025
4,1,37,Joe Burrow,3915511,HARN,QB,CIN,40.0,"['QB', 'OP', 'BE', 'IR']",DRAFT,2025
4,2,38,Chuba Hubbard,4241416,BIV,RB,CAR,34.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
4,3,39,Davante Adams,16800,FEDS,WR,LAR,6.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2025
4,4,40,Terry McLaurin,3121422,HOUSE,WR,WSH,76.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2025
4,5,41,Kenneth Walker III,4567048,WAKA,RB,SEA,24.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
4,6,42,Jaxon Smith-Njigba,4430878,JAY,WR,SEA,1.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
4,7,43,James Conner,3045147,CRAIG,RB,ARI,71.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],2025
4,8,44,TreVeyon Henderson,4432710,DAVE,RB,NE,22.0,"['Rookie', 'RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
4,9,45,DK Metcalf,4047650,WALL,WR,PIT,19.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
4,10,46,Xavier Worthy,4683062,PUG,WR,KC,51.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2025
4,11,47,Mike Evans,16737,SELL,WR,TB,117.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2025
4,12,48,Tetairoa McMillan,4685472,ED,WR,CAR,13.0,"['Rookie', 'RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2025
5,1,49,Zay Flowers,4429615,ED,WR,BAL,20.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2025
5,2,50,D'Andre Swift,4259545,SELL,RB,CHI,17.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
5,3,51,Courtland Sutton,3128429,PUG,WR,DEN,18.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
5,4,52,Tony Pollard,3916148,WALL,RB,TEN,25.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2025
5,5,53,Marvin Harrison Jr.,4432708,DAVE,WR,ARI,39.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
5,6,54,Sam LaPorta,4430027,CRAIG,TE,DET,18.0,"['WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
5,7,55,Isiah Pacheco,4361529,JAY,RB,KC,53.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2025
5,8,56,Breece Hall,4427366,WAKA,RB,NYJ,16.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2025
